Review Name,Review Text,Review Time,Rating
duy tân nguyễn,Chất lượng tốt  . Tốc độ nhanh . Chơi game ổn định .  Nhân viên thân thiện nhiệt tình . Rất ok,4 năm trước,5 sao
Smart Vin,Lắp mạng wifi của FPT cà mau nhanh gọn lẹ Thủ tục đăng ký internet đơn giản Oki,4 năm trước,5 sao
Trần Hưng Đạo,Mạng WiFi fpt xài modem 2 sóng rất mạnh,một năm trước,5 sao
vo Vi,Đăng ký mạng wifi nhanh gọn Modem fpt cà mau chơi liên quân mượt,4 năm trước,5 sao
nguyen chi,"Đang xài truyền hình fpt. Coi rất đã, nhân viên phục vụ nhiệt tình. Ok",5 năm trước,5 sao
hung nguyen tan,Nhân viên phục vụ vui vẻ. Mạng xài ổn định hơn viettel,5 năm trước,5 sao
Mạnh Huỳnh Trương,Mạng xài rất ổn. Nhân viên kinh doanh tư vấn rõ ràng. Like,5 năm trước,5 sao
Như Tô,"Mạng xài hơi bị ngọn, nhân viên phục vụ rất nhiệt tình",5 năm trước,5 sao
35 Trần,Nhân viên phục vụ tốt. Mạng wifi dùng rất mượt.,5 năm trước,5 sao
Sam Sam,Gói super 35 giá khá ngon so với các nhà mạng khác,5 năm trước,5 sao
Kiet Kiet,"Đăng ký mạng wifi nhanh, triển khai lắp đặt trong ngày.",4 năm trước,5 sao
Ka Pu,Lắp gói combo super 22 coi phim sướng quá. Nhiều kênh,5 năm trước,5 sao
khánh Ngọc,Truyen hinh xem tot. Nhan vien phuc vu chu dao. Ok,5 năm trước,5 sao
Savina C004,"Mạng xài khá ok. Đăng ký nhanh gọn, phục vụ tốt.",5 năm trước,5 sao
Khanh Lê,mang wifi xài chơi game ngon quá.,5 năm trước,5 sao
Phong Cao,Goi super 22 chơi game ngon. Giá cước ok,5 năm trước,5 sao
Xanh Điện Máy,Truyền hình fpt xem khá ok. Full ứng dụng và hỗ trợ.,5 năm trước,5 sao
tuyetdang17028 Doysbroveapyob,Gói Super35 xài khá ok,5 năm trước,5 sao
Am Nguyen,"Mang wifi  xai  on  dinh,  truyen  hinh  cement rat net.",5 năm trước,5 sao
Huy Huy,Mang WiFi choi game kha ngon.,5 năm trước,5 sao
Son Teresa,nhân viên tư vấn rất rõ ràng.  ok,5 năm trước,5 sao
May Dien,Nhan vien tu van rat ro rang. Ok,5 năm trước,5 sao
Minh khôi Đặng,Mang internet cap quang goi f7 xai muot qua,5 năm trước,5 sao
Sang Ngô Văn,lap mang fpt tóc do cao,một năm trước,5 sao
Trương Trường,Đăng ký lắp đặt dịch vụ nhanh.,4 năm trước,5 sao
Kim Nguyễn,Dịch vụ internet oki. Chơi game tốt,4 năm trước,5 sao
Huyen Tran Tang,nhan vien tu van rat nhiet tinh,5 năm trước,5 sao
Le HUYNH CHI,Nhân viên tu vân rat ok,5 năm trước,5 sao
Chien Huynh,Nhan vien tu vat rat hai long,5 năm trước,5 sao
Nhu Nguyen,Mạng chậm không thể sử dụng nổi,2 năm trước,1 sao
Duy Trần,Truyền hình fpt coi im lắm,5 năm trước,5 sao
Lắp Mạng Wifi Internet,Mạng và dịch vụ rất tốt,4 năm trước,5 sao
Bước Thầm,Đề nghị chấn chỉnh nhỏ nhân viên tên Diễm ở chi nhánh cà mau lại..thái độ như mẹ người ta...quá tệ,4 tháng trước,1 sao
nhan huynh,"Ưu đãi nhiều gói cước wifi hấp dẫn , phù hợp hộ gia đình, học sinh sinh viên.",4 tháng trước,5 sao
huynh nhan,Dịch vụ lắp đặt nhanh trong ngày. Thủ tục đơn giản,4 tháng trước,5 sao
Hùng Lưu,"Nhân viên niềm nở, bảo vệ vui vẻ Chổ đậu xe rộng rãi, thoáng",3 năm trước,4 sao
THIÊN TƯỜNG TRẦN,"Địa điểm mới mở từ tháng 10/2018 (địa điểm cũ 190E đường 30/04). Văn phòng rộng, nhân viên thân thiện. Nơi đây giải quyết các vấn đề liên quan đến mạng Internet, Tivi box...",5 năm trước,4 sao
Nguyễn Yến Linh,"Lắp đặt nhanh chóng, giá rẻ okieeeee",4 tháng trước,5 sao
Lợi Digital,"Mạng nhanh, giá hợp lý",4 tháng trước,5 sao
Phuong Le,"Dùng wifi hơn 8 9 năm của FPT, tới lúc hk dùng nữa, cần hủy dịch vụ thì bắt đem modem lại văn phòng FPT mới làm thủ tục cho hủy, chứ nhân viên chịu không lại thu. Đợt dịch về quê mấy tháng, hk sài, nhờ nhân viên tạm ngưng hợp đồng cũng hk được, chỉ hỗ trợ giảm giá cước làm phải đóng mấy tháng trong khi không dùng. Bình thường mạng cũng yếu lên yếu xuống cước phí cũng hk hề rẻ. Không bao giờ dùng lại.",một năm trước,2 sao
Nguyễn Phúc Duy (Dưa Đèo LA),Chất lượng dịch vụ kém. Thiết bị hư đổi thiết bị cũ kém chất lượng. Gọi tổng đài thì kì kèo nói trong kho hết thiết bị thu phí để đặt thiết bị mới. Chuyển mạng khác sài nhe bà con.,2 năm trước,1 sao
Hoài Thịnh,Chị nhân viên quầy tư vấn dễ thương và rất nhiệt tình. 5⭐ vì dịch vụ này.,2 năm trước,5 sao
Minh Khải Huỳnh,"BẢNG GIÁ FPT TELECOM CẦN THƠ Chương trình khuyến mãi cực kỳ hấp dẫn : ****ĐẶC BIỆT: Khách hàng đăng ký mới 06 tháng được tặng 01 tháng cước, 12 tháng được tặng 02 tháng cước. -------------- ⛔ Giá cước INTERNET cơ bản: ( Đã Có VAT) ✅ Gói super 45 Mbps - 185k/tháng. ✅ Gói super 60 Mbps - 235k/tháng. ✅ Gói super 80 Mbps - 300k/tháng. ✅ Ngoài ra còn gói 100 Mbps, 200 Mbps, 300 Mbps,...(liên hệ để nhận ưu đãi).  ⛔Giá cước INTERNET + Truyền Hình : ( Đã Có VAT) ✅ Gói super 45 Mbps - 215k/tháng. ✅ Gói super 60 Mbps - 285k/ tháng. ✅ Gói super 80 Mbps - 350k/tháng. ✅ Gói 100 Mbps, 200 Mbps, 300 Mbps,...(liên hệ để nhận ưu đãi).  ⛔ Giá FPT Play Box ✅ Ram 1GB - 1,390,000 (không đóng phí hằng tháng). ✅ Ram 2GB - 1,690,000 (không đóng phí hằng tháng).  ⛔ Giá cước CAMERA ✅ Ngoài trời - 1,600,000 (chống nước) ✅ Trong nhà -1,400,000 ➖➖➖➖➖➖➖➖➖➖➖➖  ***Tất cả các dịch vụ đều được miễn phí lắp đặt, bảo trì trọn đời và trang bị Modem 2 băng tần. **Liên hệ 0963.50.50.19 để được tư vấn miễn phí.",4 năm trước,5 sao
Khoi Truong,"Cước phí mắc,mạng yếu mà còn dán đầy nhà người ta nữa, làm còn hơn cho vay nữa!!!",2 năm trước,1 sao
Cuong Tran,Tuyệt vời,5 tháng trước,5 sao
Anh Trần,Dịch vụ tốt,6 năm trước,5 sao
Tố Quyên Nguyễn,"Chất lượng dịch vụ tốt đường truyền ổn, giá cả hợp lý",5 năm trước,5 sao
Lê Thành Đô,Tui thấy chỗ này làm ăn êm. Mạng lắp sài khỏe re sài chừng 4 năm rồi .,4 năm trước,5 sao
Như Quỳnh,"Trải nghiệm tuyệt vời, dịch vụ tốt, chất lượng tuyệt vời",2 năm trước,5 sao
Phuong Oanh Vo Thi,"Dịch vụ rất tốt, nhân viên rất nhiệt tình",5 năm trước,5 sao
Ho Kim Thao,"Dịch Vụ tốt, nhân viên thân thiện, nhiệt tình",5 năm trước,5 sao
Vy Phan,"Đường truyền ổn định, chất lượng dịch vụ rất tốt",5 năm trước,5 sao
Phúc Trần,"Nhân viên nhiệt tình, đường truyền không lag, chơi game vô tư.",5 năm trước,5 sao
Hưng,chất lượng dịch vụ rất tốt.,2 năm trước,5 sao
Ngoc Le,"Chất lượng tốt,sạch sẻ,đẹp,vệ sinh,bảo vệ môi trường.",4 năm trước,5 sao
Khanh Em Nguyễn,"Giá tốt, truyền hình nội dung tuyệt vời.",5 năm trước,5 sao
Minh Châu,"chậm trễ báo cước, hay phát sinh cước lẽ vô lí",2 năm trước,1 sao
Duyanh Nguyen,Wiffi mạnh Truyền hình hay Nhân viên nhiệt tình Giá rẻ,5 năm trước,5 sao
Khang Nguyen,"Kỹ thuật của nhà mạng FPT rất nhiệt tình, vui vẻ",3 năm trước,5 sao
Pham Thi Tuyet Tran,"Dịch vụ tốt, chất lượng cao",2 năm trước,5 sao
nguyễn hữu thiện,Đường truyền ổn định vs chất lượng tuyệt vời,5 năm trước,5 sao
Diễm Thu Mai,"Dịch vụ tốt, đường truyền ổn định",5 năm trước,5 sao
Nguyễn Quang Linh,Dịch vụ tốt ạ,2 năm trước,5 sao
Kiều My,"Dịch Vụ tốt, Nhân viên thân thiện, nhiệt tình",5 năm trước,5 sao
Chí Công Phạm,Chất lượng và phục vụ chu đáo.,6 năm trước,5 sao
Thanh Minh,"mạng sài ổn định, fpt cần thơ rất hài lòng",5 năm trước,5 sao
Chiêu Nguyễn,Giá tốt truyền hình tuyệt vời,5 năm trước,5 sao
Nhạn Trần Bá,Nhân viên hỗ trợ tốt.,2 năm trước,4 sao
Miền Nam Hải Phong,Dịch vụ internet và truyền hình tốt,4 năm trước,5 sao
Hoàng Tính Nguyễn,dịch vụ tốt,một năm trước,5 sao
long phạm,Mạng mạnh mà rẻ nữa,4 năm trước,5 sao
Đạt Nguyễn Tấn,Dịch vụ tốt!,2 năm trước,5 sao
Thao Pham,"Nhanh,  nhân viên nhiệt tình",6 năm trước,5 sao
Thư Lê,Chất lượng quá tốt,5 năm trước,5 sao
Yugyeom Kim,"Dịch vụ tốt, nhân viên thân thiện",6 năm trước,5 sao
vy tran thuy,cap quang fpt can tho sai tot,5 năm trước,5 sao
thanh minh,cap quang fpt can tho sai good,5 năm trước,5 sao
Nhan Thanh,Chất lượng dịch vụ tốt,4 năm trước,5 sao
Huỳnh Lành,Môi trường sạch đẹp,3 năm trước,4 sao
Duy Farm,Nơi làm việc,4 năm trước,5 sao
NGÔ VĂN HIẾU,Rất hài lòng!,5 năm trước,5 sao
Huynh Thong,Không hài lòng,5 năm trước,3 sao
hinh truyen,truyền hình cực hay,6 năm trước,5 sao
Hiếu Trịnh,Tuyệt vời 🥰 …,2 năm trước,5 sao
vinh vo,gút chop,2 năm trước,5 sao
Vi Nguyen,Dịch vụ tốt,2 năm trước,5 sao
Phúc Hoàng,Năm sao,6 năm trước,5 sao
Quyên Chị,Rất tốt!!!,6 năm trước,5 sao
Nguyen Thao,Rất hài lòng.,6 năm trước,5 sao
Mình khiem Phan,Tuyệt vời,5 năm trước,5 sao
Trần Đạt Duy,Dịch vụ tốt,2 năm trước,5 sao
thi nguyen,Tốt,3 năm trước,5 sao
behai nguyenthi,dịch vụ tốt,6 năm trước,5 sao
Hoàng Tín Trịnh,Dịch vụ tốt,4 năm trước,5 sao
Linh Pham,Tốt,5 năm trước,5 sao
Trung ĐỖ,Ổn,7 tháng trước,5 sao
Lang Thang TV,Tốt,3 năm trước,5 sao
Trạm Lam,Ổn,5 năm trước,4 sao
Tri To,Tốt,6 năm trước,5 sao
Vũ Anh Tuấn,Ổn,4 năm trước,4 sao
trí trịnh,Khá chu đáo và thân thiện,3 tháng trước,4 sao
mười nguyễn văn,Là môi trường tốt để phát triễn,6 năm trước,5 sao
lehung,"Bàn ghế cafe, quán ăn giá cực rẻ, bảo hành 2 năm",5 năm trước,1 sao
SUMY CHANNEL,"Tôi không hài lòng về fpt telecom đồng tháp ngày 28/08/2016 tôi có đăng kí kéo mạng khi đăng kí nhân viên có nói sau này có thể chuyển địa chỉ vì tôi ở trọ tôi trả trước 6 tháng nhưng sử dụng được 3 tháng tôi có lý do phải chuyển nhà tôi đống tiền chuyển địa chỉ công ty cũng đông ý chuyển,địa chỉ tôi chuyển đến hết hạ tầng kéo mạng công ty không tìm cách kéo mạng cho tôi hoặc trả lại số tiền 3 tháng còn lai cho tôi mà còn bảo tôi phải đền hợp đông vì dừng trước thời hạn trong khi tôi vẩn còn nhu cầu sử dụng tôi quá thất vọng về fpt telecom",7 năm trước,1 sao
Rảnh Làm Vlogs,"Dịch vụ khách hàng quá tệ, nhân viên công ty làm việc không có trách nhiệm.",2 năm trước,1 sao
Huy Phạm Hoàng,"Nhân viên nhiệt tình thân thiện, nhiều gói cước ưu đãi",5 năm trước,5 sao
Tiến Trần Minh,Mạng yếu :),6 tháng trước,1 sao
DUC CHAUHUYNH,Tôi rất hài lòng với dịch vụ internet truyền hình FPT Telecom!,7 năm trước,5 sao
ngoc ty Nguyen,Tôi rất hài lòng với dịch vụ internet truyền hình FPT Telecom!,7 năm trước,5 sao
Tịnh Nguyễn,Dịch vụ rất tốt,6 năm trước,5 sao
Kiyos,Phục vụ tận tình,7 năm trước,5 sao
Quốc Đạt Trần,dịch vu rất tốt,6 năm trước,5 sao
mylinh nguyen,Rất Tốt,6 năm trước,5 sao
Thành Duy Nguyễn,chán lắm,6 năm trước,3 sao
đô quí phạm,Tốt,6 năm trước,5 sao
Minh Nguyễn Văn,FPT,6 năm trước,5 sao
Nguyễn Lê,Tốt,6 năm trước,5 sao
Phan Hậu,Dịch vụ tốt,6 năm trước,5 sao
Thanh NguyenHuu,Ổn,4 năm trước,5 sao
An Do,Tốt,6 năm trước,5 sao
Minh Trí Dương,Ổn,5 năm trước,5 sao
Quan Nguyen,Tốt,6 năm trước,5 sao
Thuytrang Ngô,Tốt,6 năm trước,5 sao
Hoang La Thi Kim,Tốt,6 năm trước,5 sao
Tam Doan,Tốt,6 năm trước,5 sao
huynhpham huuthat,Tốt,6 năm trước,5 sao
Hong Le,Tốt,6 năm trước,5 sao
Hieu Tran,Tốt,6 năm trước,5 sao
Nguyen Huy Hoang,Dịch vụ này rất tốt,3 tháng trước,5 sao
Linh Nguyễn,"Dịch vụ okey, mạng ổn 👌 👍 …",3 tháng trước,5 sao
Cao Nhật Mỹ Toàn,"Phục vụ tận tình, mạng ổn định 👍 …",3 tháng trước,5 sao
Lê mai quí mến,Dịch vụ tốt,3 tháng trước,5 sao
Le Thao Duyen,Dịch vụ tuyệt vời👍👍 …,3 tháng trước,5 sao
An Nguyễn,Sản phẩm dịch vụ ở FPT tốt,3 tháng trước,5 sao
Vungliem Fpt,"Dịch vụ tốt, mạng sài rất mạnh",một năm trước,5 sao
Do Hoang Nhat Thien,Dịch vụ rất tốt,3 tháng trước,5 sao
Cuong Le Quoc,Wifi chuẩn sóng 5G khá mạnh chơi game vi vu bao lag,một năm trước,5 sao
nguyen tailoi,Trung tâm dịch vụ internet của tỉnh là nơi nhận và giải quyết thắc nấc của khách hàng,5 năm trước,5 sao
Tài Bi,Mình kêu đến nay đã 6 ngày k thấy ai xuống hết,7 năm trước,1 sao
Thu Huỳnh Thị,"toi vua duoc trung giai ĐB ( duoc lap dat mien phi). Toi dang phan van, muon duoc tu van a !",7 năm trước,1 sao
Mẫn Dat Lê,Mạng ok,10 tháng trước,5 sao
Quí Ngô,Mang ok,11 tháng trước,5 sao
Cuong Pham,Tôi muốn lắp trọn gói truyền hình và internet,7 năm trước,5 sao
Con Huynh,"Nhân viên lịch sự, chu đáo",5 năm trước,5 sao
Thị bích trân Lê,Mang ok,11 tháng trước,5 sao
Trí Tâm Lê,Mạng ok,11 tháng trước,5 sao
Luyen Ho,Dịch vụ cũng ok. Tốt!,7 năm trước,5 sao
hoai trung,Nhà Cung Cấp Dịch Vụ INternet FPT Kiên Giang,4 năm trước,5 sao
Trịnh Hoài Phong,Ok tạm ổn,5 năm trước,4 sao
Phong Nguyễn PQuốc,Phục vụ ok,5 năm trước,5 sao
An Đặng Hoà,Phục vụ tốt,5 năm trước,5 sao
Lâm Việt Tuyến,Mạng quá tệ,5 năm trước,2 sao
lee k.,"Thân thiện, nhiệt tình",4 năm trước,5 sao
Hoang Tam Nguyen,Tuyệt vời,4 năm trước,5 sao
liet nguyen,Fpt kiên giang,4 năm trước,3 sao
Thiensang Nguyen,Tốt,4 năm trước,5 sao
Duy Nguyễn,Tuyệt,7 năm trước,5 sao
Nguyen Trung Thang,Tốt,6 năm trước,5 sao
Nhi Trương,Tuyệt,7 năm trước,5 sao
Lê Đức Vương,Nhà thông minh FPT,một năm trước,5 sao
Tuổi Trẻ New,Tuyệt,7 năm trước,5 sao
Minh Tai Ly,Tốt,6 năm trước,5 sao
Alison Henry,"Dịch vụ ngày càng tệ. Mạng chậm dù chỉ trong gia đình dùng, ứng dụng youtube trêm gói dịch vụ TV hay bị lỗi vào ko được. Hợp đồng đk tới ngày 17, ngày 12 tự động ngắt mạng. Liên hệ thì đc bảo do nâng cấp hệ thống nên lùi ngày thanh toán phí, trong khi không một thông báo trước nào cho khách. Thái độ nhân viên cộc cằn và bất lịch sự khi trả lời khách, nhân viên cúp máy ngang.",5 tháng trước,1 sao
Phú Trọng Huỳnh,"Công ty mạng mạnh, uy tín",2 tuần trước,5 sao
Từ Ngọc Loan Anh,tôi cảm thấy đường truyền mạng mạnh k bị giật lag nhân viên hỗ trợ nhiệt tình nhanh chóng.,6 tháng trước,5 sao
Linh Yến,Mạng cực mạnh nhân viên hỗ trợ nhiệt tình,5 tháng trước,5 sao
Sa Huynh,Mạng rất mạnh nhân viên nhiệt tình,5 tháng trước,5 sao
Ly Nguyen,Mạng rất mạnh chính sách hỗ trợ tuyệt vời,5 tháng trước,5 sao
Lehoangtuyetngan Ngân lê,Mạng rát mạnh truyền hình da dạng phong phú,5 tháng trước,5 sao
Thị Túy Đinh,Nhân viên phục vụ rất nhiệt tình mạng cực manh,6 tháng trước,5 sao
So Nguyen,Mạng cực mạnh hỗ trợ nhanh,4 tháng trước,5 sao
Nguyễn Thảo,Mạng rất ok,3 tháng trước,5 sao
Khánh Đinh,Mạng mạnh nhân viên nhiệt tinh,5 tháng trước,5 sao
Bảo Hân Trần,Mạng rất mạnh,5 tháng trước,5 sao
J Euphoria,mạng cực mạnh,5 tháng trước,5 sao
Chan Moon,Mạng rất ổn định,5 tháng trước,5 sao
Trong Dinh,Mạng rất mạnh nhân viên tư vấn nhiệt tình,5 tháng trước,5 sao
Huyền Trân Phan,Dịch vụ cực kỳ hấp dẫn,6 tháng trước,5 sao
Phong Dinh,Dịch vụ hỗ trợ ok,5 tháng trước,5 sao
Ti Tranvanti,Ho tro nhiet tinh mang cuc mnh,6 tháng trước,5 sao
Kim Anh Lê Thị,Dịch vụ cực kỳ tốt,5 tháng trước,5 sao
Lạc Lạc,Dịch vụ rấtok,6 tháng trước,5 sao
Lê Ty,Mạng cực mạnh,6 tháng trước,5 sao
Chánh Châu Phương,Dịch vụ rất tốt,6 tháng trước,5 sao
Nhan Hothanh,Dịch vụ quá chuẩn,6 tháng trước,5 sao
tấn phúc lê,Quá hấp dẫn,6 tháng trước,5 sao
Hau Nguyễn,Trải nghiệm tốt phong phú đa dạng hóa hiện đại hóa chất miền tây,một năm trước,4 sao
Cty TNHH Xây Dựng Viễn Thông TPT,Tốt,4 tháng trước,5 sao
MTA Tivi,"Văn phòng rộng , đẹp ,Nhân viên trẻ trung , đẹp , lịch sự....",2 tháng trước,5 sao
Bảo Yến Nguyễn,Nơi lắp wifi rất tuyệt vời! Tư vấn tận tình.,4 tháng trước,5 sao
Trung Ngo,Mạng mạnh hỗ trợ nhiệt tình rất rất ok,4 tháng trước,5 sao
Thi Nguyen,"Dịch vụ tốt, nhân viên tận tình",4 tháng trước,5 sao
ynhu279 Nguyen,"Mạng ổn, phục vụ 24/7",4 tháng trước,5 sao
Anh Thư,tốt lắm ạ,một tháng trước,5 sao
minhtien nguyenhuynh,Quá nhanh nhẹn nhiệt tình,4 tháng trước,5 sao
Thư Nguyễn,dịch vụ tốt,một tháng trước,5 sao
Thuong Hoai,Rất tốt,4 tháng trước,5 sao
Lâm Nghiêm Trịnh,LẮP ĐẶT NHANH,một tháng trước,5 sao
binh binh,Mạnh mạnh ổn định,9 tháng trước,5 sao
an nghi,OK LẮM,9 tháng trước,5 sao
Hoa Đoàn,Người gắn cục xem tv làm mất đồ gài pin nó văng ra quài,một năm trước,2 sao
VĂN HỮU DUYÊN HUỲNH,Nơi cung cấp dịch vụ internet & Truyền hình số 1  Chợ mới,một năm trước,5 sao
Hồ Hùng Anh,Không gây được sự chú ý vì bảng hiệu và mặt tiền không ấn tượng.,7 năm trước,3 sao
Vo Ha Minh Duy,Nơi cung cấp mạng và truyền hình tốt nhất huyện Chợ Mới.,5 năm trước,5 sao
Phước Nguyễn,☆☆☆☆☆,3 tháng trước,5 sao
VĂN THÀNH NGUYỄN,Tuyet voi,7 năm trước,5 sao
Nguyễn Ngọc Thuận,Leader giỏi,3 năm trước,5 sao
Công Tú Văn,Rất tuyệt,2 tháng trước,5 sao
Công Ty TNHH TM ITN (Linhkienmang.net),"Phong cách làm việc chuyên nghiệp và năng đông, áp lực không nhỏ, nơi ươm mầm tuổi trẻ,",2 năm trước,4 sao
Kiệt Vlogs,Nhân viên dễ thương đẹp người đẹp nết,5 năm trước,4 sao
Hoàng Lê Huy,"Chuyên nghiệp, hiện đại, an ninh an toàn tốt",3 năm trước,5 sao
Thiện Đức,Cơ sở đẹp,một năm trước,5 sao
Thanh Quách Minh,Rất đẹp thoáng mát,3 năm trước,5 sao
