Review Name,Review Text,Review Time,Rating
Nguyễn Văn Long,Dịch vụ làm ăn như lừa đảo thu tiền xong không chịu qua lắp đặt cho khách,5 năm trước,1 sao
Long Huynh,Nhân Viên Tận Tình. Chuyên nghiệp. Giá Cước Tốt Nhất Khu Vực. Like,5 năm trước,5 sao
hunguyendinh thaonamcuc,"địa điểm chính xác của fpt quận tân bình, tôi đã ghé văn phòng ở đây",4 năm trước,4 sao
Sang Đỗ Thanh,Mạng quá tệ,một năm trước,1 sao
vu tran,Nhan vien từ vẫn nhiệt tinh vui ve,5 năm trước,5 sao
Dzung Kiều,Tới nâng cấp tốc độ mạng lên gói 60mb,3 năm trước,5 sao
Khang Tran,Lắp mạng fpt dùng ổn định lắm nha,4 năm trước,5 sao
sa kim,Nhân viên tư vấn nhiệt tình,3 năm trước,5 sao
Lắp Mạng FPT,Tuyệt vời ông mặt trời,5 năm trước,5 sao
Ngoc Thao Nguyen,Hi fpt xai rat tien,4 năm trước,5 sao
mcclure bonner,Giả mạo website công ty,4 năm trước,1 sao
Khang Tran,Địa điểm uy tín,4 năm trước,5 sao
Alex Nguyễn,Nhanh chóng dễ dàng,3 năm trước,4 sao
Khqng Tran,Dich vu tot,4 năm trước,5 sao
Tab S6 Samsung,Dia diem fpt tan binh,4 năm trước,5 sao
Huan Nguyen,Không có bãi đậu xe,3 năm trước,4 sao
Mạnh Nguyễn,Dịch vụ tốt!,5 năm trước,5 sao
namdai cao,Tốt,3 năm trước,5 sao
Mai Nguyen,Internet rất tốt,5 năm trước,5 sao
Tôi tên Lan,,một năm trước,1 sao
ken ken,,một năm trước,1 sao
Ngân Trần,,3 năm trước,5 sao
tran tho,,3 năm trước,5 sao
Thanh Le Minh,,3 năm trước,5 sao
Khoa Do,,3 năm trước,5 sao
Thón Chảy,,3 năm trước,5 sao
Aa Ss,,3 năm trước,5 sao
Nam Nguyễn,,4 năm trước,5 sao
Lân Nguyễn Hồng,,5 năm trước,5 sao
Công Tú Văn,Rất tuyệt,2 tháng trước,5 sao
Công Ty TNHH TM ITN (Linhkienmang.net),"Phong cách làm việc chuyên nghiệp và năng đông, áp lực không nhỏ, nơi ươm mầm tuổi trẻ,",2 năm trước,4 sao
Kiệt Vlogs,Nhân viên dễ thương đẹp người đẹp nết,5 năm trước,4 sao
Hoàng Lê Huy,"Chuyên nghiệp, hiện đại, an ninh an toàn tốt",3 năm trước,5 sao
Thiện Đức,Cơ sở đẹp,một năm trước,5 sao
Thanh Quách Minh,Rất đẹp thoáng mát,3 năm trước,5 sao
TV,Nv nhiệt tình,5 năm trước,5 sao
Tronghien Trân,Công ty công nghệ fpt,6 năm trước,3 sao
canh nguyen,tốt,một năm trước,5 sao
doan tan,tốt,7 năm trước,5 sao
Lê Nguyễn Nghĩa,Rất tốt!,7 năm trước,5 sao
Gogo far away,Được rồi,7 năm trước,3 sao
quoc nguyen,Tốt,5 năm trước,5 sao
Tùng Lê,Giống,7 năm trước,5 sao
Lý Phan,,2 tháng trước,4 sao
Ly Trung Tuan,,7 tháng trước,1 sao
Phạm Hải (Hai Pham),,một năm trước,5 sao
Chen Luis,,một năm trước,5 sao
VNPT Cần Thơ,,2 năm trước,5 sao
Hoàng Phùng hữu,,2 năm trước,5 sao
Bryant Rory,,3 năm trước,5 sao
Kim Tới Lê,,3 năm trước,4 sao
Thành Công Lê,,4 năm trước,5 sao
Thuận Tăng,,4 năm trước,5 sao
Beeline Truong,,4 năm trước,5 sao
Nguyễn Linh,,4 năm trước,4 sao
Đặng Châu Giang,,5 năm trước,4 sao
Chương Đặng Minh,,5 năm trước,4 sao
Dũng Vũ,,5 năm trước,3 sao
Quỳnh Mai Trần đặng,,5 năm trước,5 sao
Hải Nguyễn Hữu,,5 năm trước,3 sao
Hiệp Đình,Tốt,5 năm trước,5 sao
thanhbjnh90,,6 năm trước,5 sao
Viết Nguyễn Văn,,6 năm trước,5 sao
Minh Vương Đỗ,Tốt,6 năm trước,5 sao
Wild Boar,,6 năm trước,4 sao
Hung Bich,,6 năm trước,5 sao
Khánh Long,,6 năm trước,5 sao
Lê Bá Hân,,6 năm trước,5 sao
Phong Huynh,,6 năm trước,5 sao
HungTNT,,6 năm trước,5 sao
Nghĩa Dương,,6 năm trước,5 sao
Huy Vinh,,6 năm trước,5 sao
TUNG NGUYEN,,6 năm trước,2 sao
Quynh Le,,6 năm trước,4 sao
mai anhtai,,7 năm trước,5 sao
Trung Hậu Nguyễn,,7 năm trước,5 sao
Liêm Nguyễn Thanh,"Internet chập chờn, chụp ảnh và báo cho nhân viên kỹ thuật Nguyễn Minh Quang, anh ta bảo để kiểm tra và báo lại, nhưng qua 2 ngày thì không thấy báo gì hết. Gọi điện thoại thì không nghe (gọi cả dt thường và qua zalo). Tôi đề nghị phải khắc phục ngay cho tôi. Tôi rất đồng tình với những ý kiến cho 1 sao.",một tháng trước,1 sao
Duy Huỳnh,Phản ánh dịch vụ bảo hành camera. Tư vấn hướng giải quyết. Báo khách hành chờ phản hồi lên trên nhưng chờ 3 tháng không thấy phản hồi cũng không gọi khách hàng thông báo. Làm việc tắc trách. Camera fpt mua bảo hành 2 năm nhưng 1 năm hỏng thì không bảo hành. Báo bảo hành thì không còn sản phẩm cho thấy fpt bán sản phẩm kém chất lượng. Mọi người cẩn thận,2 tháng trước,1 sao
Thanh Long Vo,"Đăng ký dịch vụ mới thì hơn cả tuyệt vời Còn huỷ thì hết sức khó khăn, điều tra: - tại sao hủy - giờ ở đâu - sdt bao nhiêu Nói chung mua dịch vụ thì nv rất niềm nở, còn đến hủy dịch vụ đi rồi biết ha. Nếu có không ngôi sao, Âm ngôi sao thì mình đã chọn .",7 tháng trước,1 sao
KHANG VÀ CHEN,"Dịch vụ lừa đảo, tư vấn mỗi lần một khác. Tư vấn để khách sử dụng dv đưa ra nhiều quyền lợi. Nhưng khi sử dụng lại lật lọng, tự ý thay đổi, xiết khách hàng. Tự ý thay đổi gói cước, ko thông báo khách hàng ... Trách xa",9 tháng trước,1 sao
Tài Pháp Đặng,"Dịch vụ tốt, nhân viên phục vụ nhanh chóng.",2 năm trước,4 sao
Trần Quốc Hùng,"Nhân viên vui vẻ, địa điểm sạch mát, giữ xe chu đáo. Tuy nhiên, chưa biết việc chăm sóc khách hàng sau này thế nào, nhưng yêu cầu KH cam kết sử dụng dịch vụ 24 tháng là không giống các cty khác",2 năm trước,4 sao
Thái Hân,"Dịch vụ mạng internet quá tệ, nhân viên sale tư vấn không có tâm ảnh hưởng đến công việc rất nhiều",một năm trước,1 sao
Long Hưng Vương,"Làm việc tệ cả chục nhân viên mà chỉ có 2 người khách mình là 3 , 2 nhân viên tiếp 2 khách kia còn lại ngồi chơi tám để cho mình ngồi chờ gần 15p mình nhìn mà thấy bực mình làm sao nên đứng dậy đi về mẹ cho rồi",4 năm trước,2 sao
Phan Kuny,"Vì công việc rất gấp, cần chuyển đổi địa chỉ. Mặt dù đến lúc trưa. Anh chị ở đây đã hoàn tất hồ sơn của tôi. Và ngay ngày hôm sau tôi đã có mạng sử dụng cho công việc của mình.",9 năm trước,5 sao
Kane Huynh,"Phục vụ nhanh, nhiệt tình, nhưng vẫn không hài lòng với 1 em tư vấn ở đây, nói chuyện giống bắt khách hàng vào thế cùng. Người ta đã nố ko dùng dịch vụ TV rồi thì đưa gói khác cho khách đi, làm khách hàng giận rồi mới đưa ra giải pháp khác.",4 năm trước,4 sao
Du Chu,"Địa điểm Phòng giao dịch FPT Telecom lâu đời, vị trí đẹp, thông thoáng dễ tìm Các bạn phục vụ cũng khá chuyên nghiệp Bạn có thể đóng cước internet, truyền hình ở đây Hoặc bạn có thể đăng ký mới FPT Play Box điều khiển được giọng nói khá hay",3 năm trước,4 sao
Loving Living Learning (Cầu nới khởi nghiệp),"Các em phục vụ rất tốt, và lịch sự nữa. Dịch vụ tư nhân thì lúc nào cũng vậy.",6 năm trước,4 sao
Đặng Trung Thắng,"nơi làm việc rất thoải mái, nhân viên cũng tận tình hỏi kĩ lưỡng thái độ tận tâm.",8 năm trước,4 sao
Patrick Huy Luu Ngoc,"Chi nhánh ở đây hỗ trợ nhiệt tình, Tôi đến đóng tiền nhân viên thân thiện và hỗ trợ rất nhanh",7 năm trước,5 sao
WB BEAR,"Cách nói chuyện với khách hàng lịch sự, chuyên nghiệp.",2 năm trước,5 sao
Cương Phạm,K bao giờ sử dụng lại dịch vụ bên này.,2 năm trước,1 sao
Lộc Bột,Nhân viên quầy phòng giao dịch rất nhiệt tình và chu đáo,5 năm trước,5 sao
Dainam Tran,"Nhân viên chưa nhiệt tình lắm, chắc fpt trả lương bèo quá hay sao á.",5 năm trước,5 sao
nguyen thi tuyet Chinh,"Nhân viên tư vấn rất nhiệt tình, lịch sự, đầy đủ thông tin.",5 năm trước,5 sao
Tân Lê,Tổng đài và nhân viên ở đây không làm việc nhất quán,3 năm trước,1 sao
Kc Tuan,Ghế mới sơn mà không báo khách để khách ngồi lên hư bà cái wuaanf 😭😭😭 …,4 năm trước,2 sao
Hoaithong Pham,Nơi giao dịch tốt giải quyết mọi thắc mắc về internet cho kh cực tốt..,3 năm trước,5 sao
Linh Vu,"Nhân viên hỗ trợ nhiệt tình, làm thủ tục nhanh gọn",5 năm trước,5 sao
ThucTC,"Chổ này tiện nà, rảnh rảnh qua nhà anh Ngọc Sơn chơi.",7 năm trước,5 sao
Hong An Thai,Thái độ phục vụ và chất lượng dịch vụ rất tốt !!,6 năm trước,4 sao
Phong Nguyễn,Nơi mọi ngượi đăng ký mạng và truyền hình tốt nhất của fpt,5 năm trước,5 sao
Tài Giáp Đức,Khá là ok,một năm trước,5 sao
Vu Lu,"Phục vụ tốt, nhân viên thân thiện ân cần",5 năm trước,5 sao
phuc ho vinh,Nhân viên rất thân thiện với khách hàng,6 năm trước,4 sao
Tuan Truong Cong,Đăng ký internet. Nhanh Thân thiện,một năm trước,5 sao
Hoang Cong Dung,"Phục vụ tốt, văn minh, thân thiện",3 năm trước,5 sao
Thay tao Hk,Rat ok... Nv nhjet tjnh va de thuong,4 năm trước,5 sao
Pvl Demo,Thái độ khá tốt trừ những lúc họ mệt ra,4 năm trước,3 sao
Cao Văn Anh,"Chỗ này tốt nè , bảo vệ bao nhiệt tình",5 năm trước,4 sao
Lâm Dương,"Lịch sự, phong cách tiếp đón khách tốt.",4 năm trước,5 sao
Ngư Vương,Tôi rất hài lòng với chất lượng dịch vụ của FPT Telecom,7 năm trước,5 sao
Phúc Huỳnh Tâm Hồng,Chiến dịch FPT telecom,6 năm trước,5 sao
Học Lê,Chị nhân viên dễ thương.,6 năm trước,4 sao
hoang Thanh,"lắp đặt internet ,Wifi truyền hình fpt quận 1",8 năm trước,5 sao
N P,Fpt bóp băng thông của khách hàng.,2 năm trước,1 sao
Trường nguyễn TCTV,"Dịch vụ của FPT telecom rất OK, dịch vụ tốt",3 năm trước,5 sao
ERA 越南房地產集團- Jason Huang 先生 越南本地華人,Phục vụ tốt,3 năm trước,5 sao
Ho Le Long,Nhân viên vui vẻ.,3 năm trước,5 sao
Kun Zen,Dịch vụ tốt,2 năm trước,5 sao
Minh Hiếu Cao,Phục vụ nhanh,4 năm trước,5 sao
Trần Phương Nguyên,Văn phòng đẹp,6 năm trước,4 sao
Hieu To,Noi toi lam viec,7 năm trước,5 sao
Jenny Adelia,Nhân viên nhiệt tình,5 năm trước,5 sao
Hồng Lĩnh Nguyễn,Thân thiện vui vẻ,2 năm trước,5 sao
Cuong Khac,Bảo hành tốt,4 năm trước,5 sao
Thống Đinh,Cước hơi cao.,5 năm trước,1 sao
Cao Mr,Phục vụ nhanh,4 năm trước,4 sao
Huynh Dao,"Các dịch vụ internet, TV...",6 năm trước,3 sao
Chí Tâm Lư,Thái độ nhiệt tình,5 năm trước,5 sao
Thai Lương,Dep va lon,5 năm trước,4 sao
Be Ba Tran,Tốt,một năm trước,5 sao
Giao Nguyen,Thường thôi,5 năm trước,1 sao
Khánh Ho,Nhanh chóng,4 năm trước,5 sao
binh phan thanh,quá tuyệt..,9 năm trước,5 sao
Trinh HUA,124 Sương Nguyệt Anh Q1,6 năm trước,5 sao
kiều hồ thị thúy,Chuyên nghiệp,3 năm trước,5 sao
Lập Trần Đình,Sang trọng,5 năm trước,4 sao
Pvtho,Chuyên nghiệp,8 năm trước,5 sao
Byron Phillips,Nhân viên hữu ích nói tiếng Anh đủ tốt. Tôi đã có thể đăng ký gói internet và truyền hình ngay tại chỗ và kỹ thuật viên đã đến vào ngày hôm sau để cài đặt. Kỹ thuật viên nói tiếng Anh tốt và cũng rất hữu ích và thân thiện!,2 năm trước,5 sao
하재욱,Thân thiện và phục vụ TỐT,4 năm trước,5 sao
Hau Nguyen,Dịch vụ hữu ích nhanh chóng,5 năm trước,4 sao
Jihad Sheikhhassan,"Thiếu kiến ​​thức, giao tiếp kém",5 năm trước,2 sao
Lam Ngoc Nguyen,Nhà cung cấp dịch vụ Internet tốt,6 năm trước,5 sao
Duy Nguyễn,Dịch vụ khách hàng kém.,9 năm trước,1 sao
6789 Hiroshima (Hiro Shima_6789),Được rồi,2 năm trước,5 sao
Thu Hiền Huỳnh Thị,Tốt,2 năm trước,5 sao
Anh Hoàng,Đẹp,5 năm trước,5 sao
ĐIỀM NGUYỄN,ĐẾN,6 năm trước,5 sao
Hiếu Nguyễn Khắc,Công ty của tôi,8 năm trước,5 sao
Nguyen Quoc Cuong,Xinbchao,8 năm trước,3 sao
Thích Thanh Toán,,3 tháng trước,5 sao
tiến thuận lâm,,4 tháng trước,4 sao
Trung Thai,,một năm trước,4 sao
Cường Nguyễn lê,,một năm trước,3 sao
DUY NGUYỄN PHẠM,,2 năm trước,5 sao
Vietcuong Nguyen,,2 năm trước,5 sao
Tuan Huy Nguyen,,2 năm trước,5 sao
KEM CHANNEL,,3 năm trước,5 sao
Tri Nguyen,,3 năm trước,3 sao
Nguyễn Dư Quốc Anh,,3 năm trước,5 sao
Tien Dung Nguyen,,3 năm trước,2 sao
Minh Thang Nguyen,,3 năm trước,5 sao
anh kim,,3 năm trước,5 sao
Keious,,3 năm trước,5 sao
To van giac,,3 năm trước,5 sao
Dung Ho,,3 năm trước,5 sao
Thiện Phạm,,3 năm trước,5 sao
Huỳnh Quân,,3 năm trước,5 sao
Tin Nguyen,,3 năm trước,5 sao
Trần Cảnh,,3 năm trước,2 sao
Chop TRAN,,3 năm trước,5 sao
tuan nguyen,,3 năm trước,3 sao
Hieu Nguyen,,4 năm trước,5 sao
Dương Phạm Thùy,,4 năm trước,5 sao
Văn Bé Lê Lê,được 👍 …,4 năm trước,3 sao
Anh Tu Vu Phan,,4 năm trước,5 sao
Tung Tran Thanh,Được rồi,4 năm trước,4 sao
Phở khô Gia Lai (Há Tắc ký food),,4 năm trước,4 sao
Quách Thị Bích Thùy,Được rồi,4 năm trước,5 sao
BUDO (BUDO),,4 năm trước,5 sao
Nè Ý,,4 năm trước,5 sao
dan phanvan,,4 năm trước,5 sao
Tuấn Thanh (Piti),,4 năm trước,5 sao
DƯƠNG KIM NGOC,,4 năm trước,3 sao
Phan Vibao,,4 năm trước,5 sao
Quang Minh Pham,,4 năm trước,5 sao
Dung NguyenManh,,4 năm trước,4 sao
Quang Vũ,,4 năm trước,4 sao
Dzung Pham,,4 năm trước,4 sao
Binh Tran,,4 năm trước,5 sao
Nabi Channel,,4 năm trước,5 sao
Thao Chu Văn,,4 năm trước,4 sao
Quan Duong,,4 năm trước,5 sao
phan luu,,5 năm trước,2 sao
Pham Huy Thang,,5 năm trước,4 sao
Thị Cẩm Nhung Trần,,5 năm trước,3 sao
Thach Chinh,,5 năm trước,5 sao
An-Vinh Luong,,5 năm trước,5 sao
Hung Ngo,,5 năm trước,5 sao
Huy Mai,,5 năm trước,4 sao
Ngọc Trương Quang,,5 năm trước,4 sao
THẮNG QUANG,,5 năm trước,3 sao
Mi Phan Họa,,5 năm trước,5 sao
Son Pham Thanh,,5 năm trước,3 sao
Anh Pham,,5 năm trước,3 sao
Hoàng Sơn,,5 năm trước,5 sao
giang làm game,,5 năm trước,5 sao
Sơn Hà Dương,,5 năm trước,5 sao
Thể Khang Nguyễn,,5 năm trước,5 sao
Tinh Nguyen,,5 năm trước,5 sao
Nguyễn Phú (Nguyễn Phú Cameraman),,5 năm trước,5 sao
quân huỳnh,,5 năm trước,1 sao
Thanh Le quoc,Được rồi,5 năm trước,3 sao
Quy Hoang,,5 năm trước,5 sao
Phan Lam Duy Man,,5 năm trước,5 sao
Tuan Nguyen,,5 năm trước,1 sao
Vĩ Nguyễn Triệu,,5 năm trước,5 sao
Anh Hà Thị Trâm,,5 năm trước,4 sao
Lê Thái,,5 năm trước,3 sao
THANH DUONG NGUYEN DUY,,5 năm trước,4 sao
chung bui,,5 năm trước,5 sao
MAN LE,,5 năm trước,5 sao
Johan Bokhari Mohamad Abu Bakar,,5 năm trước,5 sao
Hân Ngọc,,5 năm trước,1 sao
Hữu Doanh Nguyễn,,5 năm trước,5 sao
Hongdang Do,,5 năm trước,4 sao
Tai Nguyen,,6 năm trước,5 sao
ngoc quoc Pham,,6 năm trước,5 sao
Thanh Thảo Nguyễn,Được rồi,6 năm trước,5 sao
Nhi Đặng Thị Ngọc,,6 năm trước,5 sao
Hải Phong Trần,,6 năm trước,5 sao
Huyen Dieu Nguyen,,6 năm trước,5 sao
Yuri Trương,,6 năm trước,5 sao
Phương Nguyễn,Được rồi,6 năm trước,4 sao
Huy Pham,,7 năm trước,5 sao
Trọng Lý Lê Cát,,7 năm trước,5 sao
Nguyen Tuong Lai,,7 năm trước,5 sao
Quynh Anh,,7 năm trước,5 sao
Dung Le Thuy,,7 năm trước,5 sao
Hieu Chu Quang,ĐƯỢC RỒI,7 năm trước,5 sao
Ninh Trong Khanh,,7 năm trước,5 sao
Hoa Tran,,7 năm trước,5 sao
Hung Ha Viet,,8 năm trước,5 sao
Dung Tran Quoc,,8 năm trước,3 sao
Phung Nguyen Minh,,8 năm trước,4 sao
Duy Nguyễn,,11 năm trước,4 sao
A Levan,"Hệ thốngTại2024/04/18 (Thu) 23:29Gửi đi  Mục tiêu của J88 là giúp những người đam mê BẮN CÁ kiếm được thật nhiều tiền mỗi ngày, tham gia BẮN CÁ tại J88 là bạn có thể nhận thưởng Lì Xì may mắn độc quyền. Chơi càng nhiều, nhận lì xì lúc 14h00 hàng ngày càng lớn, rủ bạn bè tham gia J88 ngay vừa chơi game hay lại còn có nhiều tiền thưởng ! Nhanh tay tham gia J88 nhận thưởng 14h00 hàng ngày !",5 tháng trước,5 sao
Linh Tuấn,Mình đi vô mua thẻ GARENA 100k...đem về tới nhà thẻ GATE 100K... rồi làm gì vs cái thẻ giờ...lúc vô thì nó mở nhạc đùng đùng đùng,4 năm trước,1 sao
FirePoAm,"Nhân viên tư vấn nhiệt tình, gợi ý những gói cước có lợi cho khách hàng. Lắp đặt Internet nhanh chóng, sáng đến làm thủ tục đóng tiền, chiều đã có nhân viên tới lắp rồi. Vị trí chi nhánh cũng ở trung tâm, nên thuận tiện cho giao dịch",5 năm trước,5 sao
Nguyen Ho Chi,"Mạng mạnh, truyền hình hay.",10 tháng trước,5 sao
VI NoOb,Nhân viên phục vụ tận tình. Chất lượng dịch vụ khá tốt.,5 năm trước,5 sao
Quoc Lap Nguyen,"Cung cách phục vụ chuyên nghiệp, đẳng cấp",5 năm trước,4 sao
nguyenthu huyen,"Phục vụ nhiệt tình, nhanh chóng",5 năm trước,4 sao
Nhật Minh Trần,Đăng kí thuê bao nhanh gọn.,7 năm trước,5 sao
Tuấn YASUA,"Tốt , nhân viên nhiệt thình",5 năm trước,5 sao
Huỳnh Duy Tân,Phục vụ tốt,5 năm trước,4 sao
Nam Trần Phương,Đề xuất địa chỉ này,10 năm trước,5 sao
Lữ Trọng Nguyên (Bạc Liêu),tuyệt vời,7 năm trước,5 sao
Minh Lý Trương,Tố võ,7 năm trước,5 sao
Thanh Nguyen,Mình chưa đến đây,4 năm trước,3 sao
Nguyễn Phương Mi,Khong chat luong,5 năm trước,1 sao
TVX 247,Được,4 năm trước,5 sao
Tan Nguyen,Được rồi,8 năm trước,5 sao
Sóng Nhạc VM,Xấu,7 năm trước,1 sao
Rick Lee,Tốt,7 năm trước,5 sao
Đào Quốc Tuấn,,4 tháng trước,5 sao
thanh hoang,,10 tháng trước,5 sao
Văn Hiếu Chung,,4 năm trước,5 sao
Nhân Phạm Văn,,4 năm trước,5 sao
duy phạm văn,,4 năm trước,3 sao
Nguyễn Nam,,4 năm trước,4 sao
Cao Chi Hao,,4 năm trước,4 sao
Convert Tuyen chon,,5 năm trước,4 sao
Tiểu Bình Tử (Nhóc Dâu),,5 năm trước,5 sao
Mil Nguyễn,,5 năm trước,5 sao
NGUYỄN HÙNG,,5 năm trước,5 sao
Việt Tèo Đặng,,5 năm trước,4 sao
Trường Lạc Cao,,5 năm trước,3 sao
behai nguyenthi,,6 năm trước,5 sao
Châu Trung Kiên,,6 năm trước,5 sao
Anh Pham Tuan,,6 năm trước,5 sao
Tam Doanthanh,,7 năm trước,1 sao
CM PT,,7 năm trước,4 sao
Chi Linh Truong,,7 năm trước,5 sao
Thoang Thanh,,7 năm trước,4 sao
My Phan,,8 năm trước,5 sao
Đình Duyên,Được rồi,9 năm trước,5 sao
Đào Quốc Tuấn,N/A,4 tháng trước,5 sao
thanh hoang,N/A,10 tháng trước,5 sao
Văn Hiếu Chung,N/A,4 năm trước,5 sao
Nhân Phạm Văn,N/A,4 năm trước,5 sao
duy phạm văn,N/A,4 năm trước,3 sao
Nguyễn Nam,N/A,4 năm trước,4 sao
Cao Chi Hao,N/A,4 năm trước,4 sao
Convert Tuyen chon,N/A,5 năm trước,4 sao
Tiểu Bình Tử (Nhóc Dâu),N/A,5 năm trước,5 sao
Mil Nguyễn,N/A,5 năm trước,5 sao
NGUYỄN HÙNG,N/A,5 năm trước,5 sao
Việt Tèo Đặng,N/A,5 năm trước,4 sao
Trường Lạc Cao,N/A,5 năm trước,3 sao
behai nguyenthi,N/A,6 năm trước,5 sao
Châu Trung Kiên,N/A,6 năm trước,5 sao
Anh Pham Tuan,N/A,6 năm trước,5 sao
Tam Doanthanh,N/A,7 năm trước,1 sao
CM PT,N/A,7 năm trước,4 sao
Chi Linh Truong,N/A,7 năm trước,5 sao
Thoang Thanh,N/A,7 năm trước,4 sao
My Phan,N/A,8 năm trước,5 sao
